date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:03:31	22/22	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jan%202023%2009:03:30%20GMT	https://new.axilthemes.com/robots.txt		(from )
13:03:31	32880/32880	---MCZ	200	added ('OK')	text/html	etag:W/%22632c4475-8070%22	https://new.axilthemes.com/demo/template/etrade/	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/index.html	(from )
13:03:31	1691/1691	---M--	200	added ('OK')	image/png	etag:%2263232315-69b%22	https://new.axilthemes.com/demo/template/etrade/assets/images/favicon.png	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/images/favicon.png	(from https://new.axilthemes.com/demo/template/etrade/)
13:03:33	163828/163828	---MCZ	200	added ('OK')	text/css	etag:W/%226229c8c2-27ff4%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/bootstrap.min.css	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/css/vendor/bootstrap.min.css	(from https://new.axilthemes.com/demo/template/etrade/)
13:03:34	156666/156666	---MCZ	200	added ('OK')	text/css	etag:W/%2261fd2c82-263fa%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css	(from https://new.axilthemes.com/demo/template/etrade/)
13:03:34	3875/3875	---M--	200	added ('OK')	text/css	etag:%2261fd2c82-f23%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon.css	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon.css	(from https://new.axilthemes.com/demo/template/etrade/)
13:03:35	1749/1749	---M--	200	added ('OK')	text/css	etag:%2261fd2c82-6d5%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/slick.css	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/css/vendor/slick.css	(from https://new.axilthemes.com/demo/template/etrade/)
13:03:36	3166/3166	---M--	200	added ('OK')	text/css	etag:%2261fd2c82-c5e%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/slick-theme.css	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/css/vendor/slick-theme.css	(from https://new.axilthemes.com/demo/template/etrade/)
13:03:38	17598/17598	---MCZ	200	added ('OK')	text/css	etag:W/%2261fd2c82-44be%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/jquery-ui.min.css	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/css/vendor/jquery-ui.min.css	(from https://new.axilthemes.com/demo/template/etrade/)
13:03:38	7509/7509	---M--	200	added ('OK')	text/css	etag:%226229c8c2-1d55%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/sal.css	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/css/vendor/sal.css	(from https://new.axilthemes.com/demo/template/etrade/)
13:03:39	6951/6951	---M--	200	added ('OK')	text/css	etag:%2261fd2c82-1b27%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/magnific-popup.css	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/css/vendor/magnific-popup.css	(from https://new.axilthemes.com/demo/template/etrade/)
13:03:40	6139/6139	---M--	200	added ('OK')	text/css	etag:%2261fd2c82-17fb%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/base.css	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/css/vendor/base.css	(from https://new.axilthemes.com/demo/template/etrade/)
13:03:42	273630/273630	---MCZ	200	added ('OK')	text/css	etag:W/%22632c4475-42cde%22	https://new.axilthemes.com/demo/template/etrade/assets/css/style.min.css	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/css/style.min.css	(from https://new.axilthemes.com/demo/template/etrade/)
13:03:43	32880/32880	---MCZ	200	added ('OK')	text/html	etag:W/%22632c4475-8070%22	https://new.axilthemes.com/demo/template/etrade/index.html	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/index-2.html	(from https://new.axilthemes.com/demo/template/etrade/)
13:03:43	3600/3600	---M--	200	added ('OK')	image/png	etag:%226320855f-e10%22	https://new.axilthemes.com/demo/template/etrade/assets/images/logo/logo.png	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/images/logo/logo.png	(from https://new.axilthemes.com/demo/template/etrade/)
13:03:44	3958/3958	---M--	200	added ('OK')	image/png	etag:%22630df729-f76%22	https://new.axilthemes.com/demo/template/etrade/assets/images/preview/html.png	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/images/preview/html.png	(from https://new.axilthemes.com/demo/template/etrade/)
13:03:45	3844/3844	---M--	200	added ('OK')	image/png	etag:%22630df729-f04%22	https://new.axilthemes.com/demo/template/etrade/assets/images/preview/css.png	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/images/preview/css.png	(from https://new.axilthemes.com/demo/template/etrade/)
13:03:46	3244/3244	---M--	200	added ('OK')	image/png	etag:%22630df729-cac%22	https://new.axilthemes.com/demo/template/etrade/assets/images/preview/scss.png	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/images/preview/scss.png	(from https://new.axilthemes.com/demo/template/etrade/)
13:03:47	3313/3313	---M--	200	added ('OK')	image/png	etag:%22630df729-cf1%22	https://new.axilthemes.com/demo/template/etrade/assets/images/preview/jquery.png	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/images/preview/jquery.png	(from https://new.axilthemes.com/demo/template/etrade/)
13:03:48	5203/5203	---M--	200	added ('OK')	image/png	etag:%22630df729-1453%22	https://new.axilthemes.com/demo/template/etrade/assets/images/preview/bs5.png	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/images/preview/bs5.png	(from https://new.axilthemes.com/demo/template/etrade/)
13:03:50	153058/153058	---M--	200	added ('OK')	image/png	etag:%22630df729-255e2%22	https://new.axilthemes.com/demo/template/etrade/assets/images/preview/banner-mockup.png	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/images/preview/banner-mockup.png	(from https://new.axilthemes.com/demo/template/etrade/)
13:03:50	32555/32555	---M--	200	added ('OK')	image/png	etag:%22632412ea-7f2b%22	https://new.axilthemes.com/demo/template/etrade/assets/images/preview/home-01.png	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/assets/images/preview/home-01.png	(from https://new.axilthemes.com/demo/template/etrade/)
13:03:52	155489/155489	---MCZ	200	added ('OK')	text/html	etag:W/%22632c4475-25f61%22	https://new.axilthemes.com/demo/template/etrade/index-1.html	/home/vaso/websites/e-com-erce/new.axilthemes.com/demo/template/etrade/index-1.html	(from https://new.axilthemes.com/demo/template/etrade/)
